corruption_type,n,sentence_n,sentence_positive_rate,sentence_predicted_positive_rate,sentence_accuracy,sentence_balanced_accuracy,sentence_precision,sentence_recall,sentence_f1,sentence_negative_precision,sentence_negative_recall,sentence_negative_f1,sentence_macro_precision,sentence_macro_recall,sentence_macro_f1,sentence_specificity,sentence_threshold,sentence_roc_auc,sentence_pr_auc,sentence_brier,sentence_ece_10,sentence_tp,sentence_fp,sentence_fn,sentence_tn,span_char_precision,span_char_recall,span_char_f1,span_exact_span_precision,span_exact_span_recall,span_exact_span_f1,span_relaxed_span_precision,span_relaxed_span_recall,span_relaxed_span_f1
clean,30,30.0,0.0,0.06666666666666667,0.9333333333333333,0.4666666666666667,0.0,0.0,0.0,1.0,0.9333333333333333,0.9655172413793104,0.5,0.4666666666666667,0.4827586206896552,0.9333333333333333,0.900000001,,,0.725001066367096,0.8462870016892751,0.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean_hard,30,30.0,0.0,0.06666666666666667,0.9333333333333333,0.4666666666666667,0.0,0.0,0.0,1.0,0.9333333333333333,0.9655172413793104,0.5,0.4666666666666667,0.4827586206896552,0.9333333333333333,0.900000001,,,0.6895229428597349,0.8213117996454237,0.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
missing_tool,30,30.0,1.0,0.9666666666666667,0.9666666666666667,0.48333333333333334,1.0,0.9666666666666667,0.983050847457627,0.0,0.0,0.0,0.5,0.48333333333333334,0.4915254237288135,0.0,0.900000001,,,0.0026642221402632576,0.011553075869878183,29.0,0.0,1.0,0.0,0.33034825870646767,0.9478943611705924,0.48994650433499354,0.010940919037199124,0.16666666666666666,0.02053388090349076,0.061269146608315096,0.9333333333333333,0.11498973305954825
overgeneration,30,30.0,1.0,0.9666666666666667,0.9666666666666667,0.48333333333333334,1.0,0.9666666666666667,0.983050847457627,0.0,0.0,0.0,0.5,0.48333333333333334,0.4915254237288135,0.0,0.900000001,,,0.002616759560832737,0.00989046986897786,29.0,0.0,1.0,0.0,0.44050632911392407,0.943089430894309,0.6005176876617775,0.0041928721174004195,0.06666666666666667,0.007889546351084811,0.06079664570230608,0.9666666666666667,0.11439842209072978
tool_contradiction,30,30.0,1.0,0.13333333333333333,0.13333333333333333,0.06666666666666667,1.0,0.13333333333333333,0.23529411764705882,0.0,0.0,0.0,0.5,0.06666666666666667,0.11764705882352941,0.0,0.900000001,,,0.017790983516909387,0.11131060743331916,4.0,0.0,26.0,0.0,0.644880174291939,0.5826771653543307,0.6122026887280247,0.02631578947368421,0.03333333333333333,0.029411764705882353,0.07894736842105263,0.1,0.08823529411764706
